system:index,EVI,NDMI,NDVI,VH,VV,VV_VH_ratio,agbd,elevation,rh95,slope,.geo,CVI
126,0.6778067129629629,0.1012404961984793,0.3077175697865353,-17.454622967452522,-10.3832611569411,-0.5948716953842357,1.331117033958435,558,2.200000047683716,3.9342117309570312,"{""type"":""MultiPoint"",""coordinates"":[]}",-15.556996320313937
241,0.7397479827567149,-0.1240567951318458,0.3731010452961672,-16.80500417789443,-9.717302595818078,-0.5782386301694808,1.214100956916809,870,2.0899999141693115,3.824613094329834,"{""type"":""MultiPoint"",""coordinates"":[]}",-14.813295698197267
287,1.3546168092424375,0.0431399473623984,0.571003717472119,-15.637227805159217,-9.431963482494387,-0.6031736315424454,0.7764359712600708,709,2.049999952316284,0.96255624294281,"{""type"":""MultiPoint"",""coordinates"":[]}",-12.72079156557284
336,0.3427510640224576,-0.0729818290140005,0.215485340165101,-20.210159219935115,-11.085932376707891,-0.5485326590486646,2.2022180557250977,356,2.609999895095825,4.28311824798584,"{""type"":""MultiPoint"",""coordinates"":[]}",-23.814231103653565
340,0.6272530641672674,-0.0360284876413908,0.3182926829268293,-19.746399524860607,-10.72104995707787,-0.5429369512948489,1.1436779499053955,635,2.119999885559082,0.9635953903198242,"{""type"":""MultiPoint"",""coordinates"":[]}",-19.133740050830113
346,1.092829384480381,0.0564373897707231,0.5079388201019664,-15.283657746892182,-8.520548904603238,-0.55749409242927,18.09593391418457,603,5.800000190734863,2.0875978469848637,"{""type"":""MultiPoint"",""coordinates"":[]}",-39.22603257523651
373,0.3553908777789374,-0.0193675889328063,0.1670345842531273,-19.10742867325674,-12.966242587280078,-0.6785969378196853,2.8369579315185547,339,2.8399999141693115,2.677680492401123,"{""type"":""MultiPoint"",""coordinates"":[]}",-17.440967957071493
381,0.5288234986124928,-0.0651450309082263,0.2857142857142857,-15.103704864863554,-8.44375355324746,-0.5590518107176838,20.634387969970703,678,6.199999809265137,14.993186950683594,"{""type"":""MultiPoint"",""coordinates"":[]}",-41.291696861734884
414,1.200172562553926,0.0628501827040194,0.5321346595256312,-16.961579313382117,-11.063946440637327,-0.6522945909823531,27.98006248474121,936,11.0,4.838999271392822,"{""type"":""MultiPoint"",""coordinates"":[]}",-64.87396160019269
439,0.7608093978719478,-0.1392026578073089,0.3514204545454545,-17.46289773101063,-10.610608364424492,-0.6076086871643396,11.455069541931152,762,2.539999961853028,1.9075030088424685,"{""type"":""MultiPoint"",""coordinates"":[]}",-17.404814729734703
